Global_ID,ENTRY,Rep,block,Location,Check,Plot,End Plot,Expt,Pedigree,Name,Rng,Pas,Year,PLOTWT,MOIST,SDWT,FLWR,HT,LDG,MTR,DS,CBB,P_FT,CWT_A,ADJ_SDWT
2012_1002,13,1,1,SVREC,0,1002,FALSE,2012,"XRAV-40-4, SANKARA",I16708,1,71,2020,1239.3,13.36,21.3,43,45,1,96,5,2,15,25.17447217,22.50526829
2006_1002,14,1,1,SVREC,3,1002,FALSE,2006,"AN-37/P02630, ELDORADO",P07863,1,79,2020,1714.9,14.11,36.7,43,52,2,94,5,1,15,34.53399989,38.4410122
2003_1002,52,,1,SVREC,0,1002,FALSE,2003,N17504/N16405,N20364,1,83,2020,797.4,14.6,15.7,53,48,2,92,4,4,16,14.96824416,16.35097561
2004_1002,147,,1,SVREC,3,1002,FALSE,2004,"BL14506, BLACK BEARD",I19703,1,93,2020,1638.1,13.9,19.2,47,60,2,94,5,3,16,31.00132945,20.16
2008_1002,30,,30,SVREC,0,1002,FALSE,2008,P16905/G16341,G20778,1,111,2020,,,,,,,,,,,,
2009_1002,136,,1,SVREC,0,1002,FALSE,2009,S17702/R17604,S20410,1,156,2020,1067.6,19.22,36.2,53,25,3,95,4,1,16,18.95610784,35.66141463
2013_1003,21,1,1,SVREC,0,1003,FALSE,2013,B15414/B16504,B19346,1,5,2020,942.9,11.37,21.8,46,48,1,96,5,4,15,19.59349296,23.56260976
2002_1003,21,1,1,SVREC,0,1003,FALSE,2002,B15414/B16504,B19346,1,24,2020,1153.5,14.53,21.1,47,36,1,96,5,3,15,23.11515357,21.99289024
2001_1003,21,1,1,SVREC,0,1003,FALSE,2001,N15331/N16405,N19246,1,36,2020,1779,14.18,19,45,46,1,96,6,1,15,35.79562408,19.88512195
2005_1003,17,1,1,SVREC,0,1003,FALSE,2005,G13444/COSD-44,G19601,1,48,2020,1497.6,12.64,34.7,44,54,2,97,5,2,15,30.67424888,36.96819512
2007_1003,6,1,1,SVREC,0,1003,FALSE,2007,R12859/R12844,R18402,1,56,2020,1547.8,14.7,34.6,43,54,1,98,5,1,15,30.95489632,35.99243902
2011_1003,38,1,1,SVREC,0,1003,FALSE,2011,"G07321/Fuji, SAMURAI",G12901,1,62,2020,1245.8,15.37,27.6,43,47,1,96,5,5,15,24.71941266,28.48521951
2012_1003,19,1,1,SVREC,0,1003,FALSE,2012,R12859/R12844,R17604,1,72,2020,1745.4,12.58,30.8,42,50,1,96,5,1,15,35.77430901,32.83580488
2006_1003,1,1,1,SVREC,0,1003,FALSE,2006,P11519/P12610,P16902,1,80,2020,1720.5,14.39,32.5,43,57,1,92,5,3,15,34.53382264,33.93079268
2003_1003,91,,1,SVREC,1,1003,FALSE,2003,"MEDALIST/N08003, ALPENA",N11283,1,84,2020,1733.6,12.9,17.1,46,57,2,93,5,2,16,33.18973692,18.16353659
2004_1003,120,,1,SVREC,0,1003,FALSE,2004,B17536/B16504,B20626,1,94,2020,1295.8,16.09,19,54,43,2,95,5,3,16,23.89948009,19.44256098
2008_1003,16,,16,SVREC,0,1003,FALSE,2008,G16339/N17506,G20722,1,112,2020,,,,,,,,,,,,
2009_1003,102,,1,SVREC,0,1003,FALSE,2009,S16804/I13401,R20702,1,157,2020,1408.7,17.75,31.7,53,45,3,97,5,1,16,25.46778518,31.79664634
2013_1004,11,1,1,SVREC,0,1004,FALSE,2013,B14302/B10244,B17922,1,6,2020,1326.6,12.49,18.9,47,61,1,97,6,3,15,27.2184354,20.1699878
2002_1004,11,1,1,SVREC,0,1004,FALSE,2002,B14302/B10244,B17922,1,25,2020,1401.6,14.04,19,47,53,1,96,6,3,15,28.24788756,19.91756098
2001_1004,11,1,1,SVREC,0,1004,FALSE,2001,N14230/N12447,N17506,1,37,2020,1426.8,14.08,18.2,49,40,1,96,6,1,15,28.7423881,19.07004878
2005_1004,9,1,1,SVREC,0,1004,FALSE,2005,G12508/G13455,G16345,1,49,2020,1738.3,13.27,30.6,43,52,1,96,6,2,15,35.34756948,32.36509756
2007_1004,7,1,2,SVREC,0,1004,FALSE,2007,R12859/R12844,R17605,2,54,2020,1916.7,13.22,35.4,44,58,1,96,5,1,15,38.99772468,37.46356098
2011_1004,35,1,1,SVREC,0,1004,FALSE,2011,"ND121448, ND FALCON",I16705,1,63,2020,1254.5,13.39,35.8,45,58,1,95,6,1,15,25.47441294,37.81265854
2012_1004,8,1,1,SVREC,0,1004,FALSE,2012,PT11-13-1,I19720,1,73,2020,1900.2,14.19,38.3,42,53,2,96,4,1,15,38.22985898,40.07954878
2006_1004,6,1,1,SVREC,0,1004,FALSE,2006,I16706/P16901,P19703,1,81,2020,1389.2,14.65,34.5,47,45,2,93,5,2,15,27.79929488,35.90945122
2003_1004,1,,1,SVREC,0,1004,FALSE,2003,N14218/N15306,N20301,1,85,2020,337.9,15.13,16.9,52,42,3,96,4,4,16,6.303462168,17.4915
2004_1004,52,,1,SVREC,0,1004,FALSE,2004,B16504/B14302,B20556,1,95,2020,1648.3,13.66,18.6,52,55,1,93,5,4,16,31.28131918,19.58443902
2008_1004,41,,41,SVREC,0,1004,FALSE,2008,I17516/G16341,G20763,1,113,2020,,,,,,,,,,,,
2009_1004,153,,1,SVREC,0,1004,FALSE,2009,S17702/R17603,S20427,1,158,2020,972.9,17.83,34,54,36,3,96,5,1,16,17.57188074,34.0704878
2013_1005,19,1,1,SVREC,0,1005,FALSE,2013,B16501/B15414,B19330,1,7,2020,1516.1,12.29,22.2,46,65,1,96,6,2,15,31.17758264,23.74587805
2002_1005,19,1,1,SVREC,0,1005,FALSE,2002,B16501/B15414,B19330,1,26,2020,1597.2,13.66,22.6,46,52,1,96,5,1,15,32.33231685,23.79614634
2001_1005,19,1,1,SVREC,0,1005,FALSE,2001,N15335/N14243,N19252,1,38,2020,1371.2,13.87,19.1,45,37,1,96,5,1,15,27.68985822,20.0619878
2005_1005,24,1,2,SVREC,3,1005,FALSE,2005,"ND121630, ND PEGASUS",I15652,2,46,2020,2007.4,14.59,38.5,43,50,3,96,4,2,15,40.19834026,40.10103659
2007_1005,3,1,2,SVREC,0,1005,FALSE,2007,X16804/S16804,S19307,2,55,2020,1918.6,14.03,33.1,44,42,2,97,4,3,15,38.67201906,34.70252439
2011_1005,36,1,1,SVREC,0,1005,FALSE,2011,"Santa Fe/PS08-108, ND PALOMINO",I14520,1,64,2020,1466.16,12.09,36.4,41,40,3,97,4,2,15,30.21935059,39.02346341
2012_1005,5,1,2,SVREC,0,1005,FALSE,2012,"NE28-15-55/NE28-15-1, SB4-204",I20803,2,70,2020,1995.1,13.63,21.9,46,48,3,96,3,2,15,40.40108871,23.06710976
2006_1005,12,1,2,SVREC,0,1005,FALSE,2006,P14815/I15643,P19701,2,78,2020,1225.3,19.09,33.9,47,48,3,96,4,2,15,23.24395976,33.44937805
2003_1005,34,,1,SVREC,0,1005,FALSE,2003,N15306/N14218,N20338,1,86,2020,1166.1,15.78,16.3,53,46,3,95,4,2,16,21.5867762,16.74129268
2004_1005,145,,1,SVREC,1,1005,FALSE,2004,"Zenith//Alpena*/B09197, ADAMS",B18504,1,96,2020,1808.2,13.56,18.4,47,54,1,92,5,2,16,34.35563498,19.39629268
2008_1005,24,,24,SVREC,0,1005,FALSE,2008,G16328/G17411,G20735,1,114,2020,,,,,,,,,,,,
2009_1005,157,,1,SVREC,1,1005,FALSE,2009,"SR9-5/R09508, CAYENNE",R12844,1,159,2020,1442.2,12.35,31.7,45,48,2,93,5,1,16,27.78524102,33.88420732
2013_1006,34,1,1,SVREC,8,1006,FALSE,2013,"NDF120287, ND TWILIGHT",I19701,1,8,2020,1100.2,14.11,20.4,46,50,2,96,5,2,15,22.15540654,21.3677561
2002_1006,34,1,1,SVREC,0,1006,FALSE,2002,"NDF120287, ND TWILIGHT",I19701,1,27,2020,1095.6,14.42,20.1,45,46,2,95,5,2,15,21.98314305,20.97753659
2001_1006,34,1,1,SVREC,0,1006,TRUE,2001,N13142/B14302,N19290,1,39,2020,1669.2,14.29,18.8,48,41,2,96,5,1,15,33.5432664,19.65058537
2005_1006,8,1,2,SVREC,0,1006,FALSE,2005,G16351/P16902,G19613,2,47,2020,1839.5,12.66,41.2,44,58,2,98,5,3,15,37.66851158,43.88302439
2007_1006,4,1,2,SVREC,0,1006,FALSE,2007,S14706/R13752,S18907,2,56,2020,1849.3,15.99,39.8,45,44,2,96,6,3,15,36.42535848,40.77558537
2011_1006,15,1,2,SVREC,0,1006,FALSE,2011,NE4-18-23,I19739,2,60,2020,1755.9,14.64,42.7,43,40,4,98,3,3,15,35.14144904,44.44965854
2012_1006,4,1,2,SVREC,0,1006,FALSE,2012,"NE28-15-54/NE28-15-1, SB4-171",I20802,2,71,2020,1632.4,12.91,24.3,43,44,3,98,3,1,15,33.331922,25.80837805
2006_1006,8,1,2,SVREC,0,1006,FALSE,2006,P16911/X16801,P19707,2,79,2020,2085.8,14.26,37.4,44,59,2,93,5,1,15,41.9296872,39.10580488
2003_1006,67,,2,SVREC,0,1006,FALSE,2003,N14229/N17506,N20382,1,87,2020,565.1,14.98,17.2,53,43,1,95,4,3,16,10.56046799,17.83346341
2004_1006,39,,1,SVREC,0,1006,FALSE,2004,B16501/B15430,B20542,1,97,2020,1736.5,12.65,17.9,47,54,1,92,5,2,16,33.34068003,19.06786585
2008_1006,51,,51,SVREC,4,1006,FALSE,2008,TAURUS,I17509,2,110,2020,,,,,,,,,,,,
2009_1006,12,,1,SVREC,0,1006,FALSE,2009,R17603/I17551,R20612,1,160,2020,1427.6,12.16,35.4,45,42,2,95,4,1,16,27.56357996,37.92117073
2013_1007,23,1,2,SVREC,0,1007,FALSE,2013,B15414/B16504,B19309,2,3,2020,1461.8,13.01,20.5,45,56,1,96,7,2,15,29.8141731,21.7475
2002_1007,23,1,2,SVREC,0,1007,FALSE,2002,B15414/B16504,B19309,2,22,2020,1853.6,14.13,19.2,46,52,1,96,6,1,15,37.31839558,20.10614634
2001_1007,23,1,2,SVREC,0,1007,FALSE,2001,N15331/N16404,N19240,2,34,2020,1734,14.2,19.6,44,47,1,96,5,2,15,34.88203883,20.50829268
2005_1007,16,1,2,SVREC,0,1007,FALSE,2005,X15405/G13444,G19619,2,48,2020,1604.6,16.45,38.1,42,49,2,96,5,4,15,31.43248539,38.82018293
2007_1007,12,1,3,SVREC,3,1007,FALSE,2007,"S02754/S04503, ROSETTA",S08418,3,54,2020,2055.5,12.91,34.2,44,44,2,96,4,2,15,41.97118701,36.32290244
2011_1007,20,1,2,SVREC,0,1007,FALSE,2011,ND121315,I16707,2,61,2020,1912.6,12.82,37.4,41,38,3,96,3,4,15,39.09367484,39.76258537
2012_1007,23,1,2,SVREC,1,1007,FALSE,2012,MATTERHORN,G93414,2,72,2020,1442.1,12.47,34.7,41,43,3,96,3,5,15,29.59496192,37.04013415
2006_1007,15,1,2,SVREC,4,1007,FALSE,2006,"ND121448, ND FALCON",I16705,2,80,2020,1488.12,14.97,33,45,59,1,92,6,2,15,29.66713534,34.21939024
2003_1007,30,,2,SVREC,0,1007,FALSE,2003,N14229/B16504,N20334,1,88,2020,831.1,12.75,17.5,54,50,3,95,4,2,16,15.93879462,18.62042683
2004_1007,55,,1,SVREC,0,1007,FALSE,2004,B16504/B16501,B20559,1,98,2020,913.6,14.01,14.9,54,50,3,95,4,3,16,17.26795056,15.6250122
2008_1007,46,,46,SVREC,0,1007,FALSE,2008,P16905/G16341,G20771,2,111,2020,,,,,,,,,,,,
2009_1007,33,,1,SVREC,0,1007,FALSE,2009,R17605/R16503,R20633,1,161,2020,1562.5,12.11,31.9,46,47,2,94,5,1,16,30.18535217,34.19135366
2013_1008,18,1,2,SVREC,5,1008,FALSE,2013,"ND9902621-2, ECLIPSE",I03390,2,4,2020,1184.6,11.65,19.7,43,53,1,96,6,3,15,24.53825992,21.22554878
2002_1008,18,1,2,SVREC,0,1008,FALSE,2002,"ND9902621-2, ECLIPSE",I03390,2,23,2020,1476.2,14.18,20.1,45,51,1,96,6,4,15,29.70292314,21.03636585
2001_1008,18,1,2,SVREC,0,1008,FALSE,2001,N15331/N16404,N19239,2,35,2020,1958.2,14.14,19.2,44,45,2,97,5,2,15,39.4197087,20.10380488
2005_1008,10,1,2,SVREC,0,1008,FALSE,2005,G16339/G16318,G19623,2,49,2020,1697,13.06,34.5,44,53,2,97,5,5,15,34.59130594,36.57841463
2007_1008,14,1,3,SVREC,0,1008,FALSE,2007,R16519/R16518,R19502,3,55,2020,1963.3,13.59,33,44,46,2,96,5,2,15,39.77554619,34.7747561
2011_1008,24,1,2,SVREC,0,1008,FALSE,2011,"ND121630, ND PEGASUS",I15652,2,62,2020,2056.4,15.09,40.1,42,50,2,96,4,2,15,40.9384991,41.52306098
2012_1008,10,1,2,SVREC,0,1008,FALSE,2012,GN16-7-2,I20805,2,73,2020,1862.7,13.1,37.9,41,45,3,96,4,3,15,37.95143233,40.1647561
2006_1008,11,1,2,SVREC,0,1008,FALSE,2006,P16911/P16901,P19713,2,81,2020,2223.3,14.37,32.6,46,61,2,92,5,1,15,44.63643407,34.04314634
2003_1008,91,,2,SVREC,1,1008,FALSE,2003,"MEDALIST/N08003, ALPENA",N11283,1,89,2020,1688.2,14.61,18.2,47,58,2,93,5,2,16,31.68601811,18.95241463
2004_1008,23,,1,SVREC,0,1008,FALSE,2004,B14302/B15430,B20526,1,99,2020,1647.2,13.83,18,47,41,3,94,4,2,16,31.1988929,18.91536585
2008_1008,21,,21,SVREC,0,1008,FALSE,2008,G16341/G16306,G20729,2,112,2020,,,,,,,,,,,,
2009_1008,107,,1,SVREC,0,1008,FALSE,2009,S17702/R17604,R20707,1,162,2020,1155.6,12.61,35,49,40,3,94,5,1,16,22.19760041,37.30060976
2013_1009,16,1,2,SVREC,0,1009,FALSE,2013,B10244/B13218,B18201,2,5,2020,1197.8,12.9,20,45,55,1,97,5,3,15,24.46064721,21.24390244
2002_1009,16,1,2,SVREC,0,1009,FALSE,2002,B10244/B13218,B18201,2,24,2020,1293.9,14.34,19.2,46,49,1,97,5,5,15,25.98628895,20.05697561
2001_1009,16,1,2,SVREC,4,1009,FALSE,2001,"COOP 03019, MERLIN",I11264,2,36,2020,1540.3,14.09,19.4,45,37,2,96,5,5,15,31.02519464,20.32504878
2005_1009,15,1,3,SVREC,0,1009,FALSE,2005,G13467/G13479,G17410,3,46,2020,2063,13.5,33.6,45,52,2,98,5,2,15,41.83895374,35.44390244
2007_1009,18,1,3,SVREC,0,1009,FALSE,2007,S14706/R13752,S18903,3,56,2020,1761.8,15.26,39.6,43,30,4,100,2,1,15,35.00342536,40.92321951
2011_1009,19,1,2,SVREC,3,1009,FALSE,2011,"PNE-6-94-75/Kodiak, LAPAZ",I07113,2,63,2020,2143.9,14.88,37.8,43,31,3,96,4,2,15,42.78599336,39.2382439
2012_1009,3,1,3,SVREC,0,1009,FALSE,2012,"Matterhorn/PT7-2, SB3_0143",I19738,3,70,2020,1197,16.17,32,42,35,4,95,2,5,15,23.52659611,32.71414634
2006_1009,3,1,3,SVREC,0,1009,FALSE,2006,P14815/I15643,P19702,3,78,2020,1538.6,19.88,35.9,43,45,2,94,4,1,15,28.90228299,35.07692683
2003_1009,62,,2,SVREC,0,1009,FALSE,2003,N17506/N16405,N20376,1,90,2020,991.4,12.43,17.3,49,51,3,94,4,3,16,19.08275265,18.47513415
2004_1009,146,,1,SVREC,2,1009,FALSE,2004,"B04644/ZORRO, ZENITH",B10244,1,100,2020,1822.5,12.45,18,47,50,2,93,5,1,16,35.07199286,19.21829268
2008_1009,25,,25,SVREC,0,1009,FALSE,2008,G17410/G14510,G20736,2,113,2020,,,,,,,,,,,,
2009_1009,110,,1,SVREC,0,1009,FALSE,2009,S17702/R17605,R20710,1,163,2020,1102.5,13.25,32.5,46,44,2,95,5,1,16,21.02252309,34.38262195
2013_1010,1,1,2,SVREC,0,1010,FALSE,2013,Zenith/B10215,B16501,2,6,2020,1423,12.35,20.7,45,56,1,97,6,4,15,29.24302535,22.12628049
2002_1010,1,1,2,SVREC,0,1010,FALSE,2002,Zenith/B10215,B16501,2,25,2020,1744.3,14.09,22.1,46,52,1,97,6,4,15,35.13422515,23.15379268
2001_1010,1,1,2,SVREC,0,1010,FALSE,2001,N13120/PR00806-81,N18103,2,37,2020,1803.4,14.48,22.4,46,57,2,96,5,4,15,36.1597349,23.36156098
2005_1010,19,1,3,SVREC,0,1010,FALSE,2005,G16346/G16318,G19611,3,47,2020,1859.6,12.78,38.5,43,56,2,96,5,3,15,38.02779115,40.95085366
2007_1010,13,1,4,SVREC,4,1010,FALSE,2007,"R94037/R94161, MERLOT",R98026,4,54,2020,1881.3,13.53,39.2,44,44,4,98,3,3,15,38.14072945,41.33687805
2011_1010,40,1,2,SVREC,0,1010,FALSE,2011,Eldorado*/Palomino//G13444 (SDP),P19103,2,64,2020,1649.9,12.81,35.2,43,33,3,98,3,4,15,33.72793719,37.42790244
2012_1010,25,1,3,SVREC,3,1010,FALSE,2012,"ND020351, STAMPEDE",I05834,3,71,2020,1263,13.04,34.2,42,50,3,100,3,4,15,25.75065984,36.26868293
2006_1010,2,1,3,SVREC,0,1010,FALSE,2006,P11522/LONG'S PEAK,P18608,3,79,2020,1761.4,15.36,33.7,45,50,1,92,5,1,15,34.95418069,34.78497561
2003_1010,60,,2,SVREC,0,1010,FALSE,2003,N17506/N14229,N20372,1,91,2020,1342.8,14.98,15.5,49,46,3,94,4,4,16,25.09395933,16.07085366
2004_1010,16,,2,SVREC,0,1010,FALSE,2004,B11519/B17106,B20519,1,101,2020,1267.9,13.67,20.2,47,48,2,92,4,1,16,24.05932836,21.26665854
2008_1010,27,,27,SVREC,0,1010,FALSE,2008,G17410/G14510,G20738,2,114,2020,,,,,,,,,,,,
2009_1010,51,,2,SVREC,0,1010,FALSE,2009,I13401/R12844,R20651,1,164,2020,889.4,13.09,31.4,54,49,2,97,5,1,16,16.9904011,33.28017073
2013_1011,36,1,2,SVREC,0,1011,FALSE,2013,NE14-18-4,I19711,2,7,2020,1377,12.07,26,43,42,3,98,4,2,15,28.38811093,27.8802439
2002_1011,36,1,2,SVREC,0,1011,FALSE,2002,NE14-18-4,I19711,2,26,2020,1581.9,14.48,25.2,43,43,3,96,4,2,15,31.71846769,26.2817561
2001_1011,36,1,2,SVREC,5,1011,FALSE,2001,VALIANT,I20815,2,38,2020,2019.2,14.33,20.5,43,46,2,96,5,2,15,40.55772486,21.4175
2005_1011,14,1,3,SVREC,0,1011,FALSE,2005,G16346/G16309,G19617,3,48,2020,1565.5,12.37,40.7,42,40,4,96,3,5,15,32.16409705,43.49440244
2007_1011,10,1,4,SVREC,2,1011,FALSE,2007,"SR99238/Merlot, VIPER",I13401,4,55,2020,1792.2,13.79,30.6,44,46,3,96,4,2,15,36.22510044,32.17104878
2011_1011,17,1,3,SVREC,0,1011,FALSE,2011,P14815/G14525,P18603,3,60,2020,1882.8,13.28,44.2,49,50,2,98,4,2,15,38.28149934,46.74419512
2012_1011,26,1,3,SVREC,0,1011,FALSE,2012,"SR9-5/R09508, CAYENNE",R12844,3,72,2020,1936.1,13.41,35.5,44,54,3,98,3,1,15,39.30619504,37.48713415
2006_1011,4,1,3,SVREC,0,1011,FALSE,2006,P14815/G14525,P18603,3,80,2020,1545.7,14.09,37.41,47,49,3,95,4,3,15,31.13396309,39.19381829
2003_1011,49,,1,SVREC,0,1011,FALSE,2003,N17504/N15337,N20361,2,82,2020,961.8,12.23,17.5,47,45,3,95,4,3,16,18.55528493,18.73140244
2004_1011,125,,2,SVREC,0,1011,FALSE,2004,B17692/B16504,B20631,1,102,2020,1324.7,12.23,16.6,48,51,2,93,5,3,16,25.55644204,17.76807317
2008_1011,8,,8,SVREC,0,1011,FALSE,2008,G16306/G17411,G20714,3,110,2020,,,,,,,,,,,,
2009_1011,10,,2,SVREC,0,1011,FALSE,2009,R17603/I17551,R20610,1,165,2020,963.9,11.75,34.3,46,46,2,96,5,1,16,18.69749609,36.91432927
2013_1012,6,1,2,SVREC,0,1012,FALSE,2013,B11363//Alpena*/B09197,B16505,2,8,2020,1411.4,14.88,20.3,45,50,1,97,5,3,15,28.167429,21.07239024
2002_1012,6,1,2,SVREC,0,1012,FALSE,2002,B11363//Alpena*/B09197,B16505,2,27,2020,1732.1,14.16,22.8,45,52,1,96,5,3,15,34.86006166,23.86770732
2001_1012,6,1,2,SVREC,0,1012,TRUE,2001,G14505/X16708,N19285,2,39,2020,1960.8,14.31,22.8,44,45,3,97,4,2,15,39.39389485,23.826
2005_1012,1,1,3,SVREC,0,1012,FALSE,2005,X15405/G13444,G19620,3,49,2020,1539.1,16.75,33.9,50,43,3,98,3,3,15,30.04115047,34.41676829
2007_1012,8,1,4,SVREC,0,1012,FALSE,2007,R12845/R12859,R17602,4,56,2020,2012.5,15.03,38.7,44,49,2,99,4,2,15,40.09285539,40.10169512
2011_1012,2,1,3,SVREC,0,1012,FALSE,2011,NE1-18-15,I20806,3,61,2020,1342.2,13.29,39.7,42,31,5,106,2,1,15,27.28675559,41.98032927
2012_1012,22,1,3,SVREC,0,1012,FALSE,2012,"Eldorado/P11519, CHARRO",P16901,3,73,2020,1960.4,13.62,38.8,44,54,3,96,4,2,15,39.70300458,40.8724878
2006_1012,9,1,3,SVREC,0,1012,FALSE,2006,Eldorado*/Palomino//G13444 (SDP),P19103,3,81,2020,1891.2,12.75,35.6,43,51,2,94,4,1,15,38.68729589,37.87926829
2003_1012,82,,1,SVREC,0,1012,FALSE,2003,B16504/N17504,N20397,2,83,2020,158.3,14.5,20.3,47,39,3,95,4,2,16,2.97497819,21.16646341
2004_1012,147,,2,SVREC,3,1012,FALSE,2004,"BL14506, BLACK BEARD",I19703,1,103,2020,1778.5,13.98,19.2,48,54,2,94,5,3,16,33.62715025,20.14126829
2008_1012,6,,6,SVREC,0,1012,FALSE,2008,G16306/G17411,G20712,3,111,2020,,,,,,,,,,,,
2009_1012,15,,2,SVREC,0,1012,FALSE,2009,R17604/I13401,R20615,1,166,2020,1200.7,11.53,28.5,52,47,2,95,5,1,16,23.34894674,30.74871951
2013_1013,10,1,3,SVREC,2,1013,FALSE,2013,"Jaguar/BL05222, BLACK BEAR",I17501,3,3,2020,1425.4,12.38,21.9,46,64,2,99,6,3,15,29.28232008,23.40095122
2002_1013,10,1,3,SVREC,0,1013,FALSE,2002,"Jaguar/BL05222, BLACK BEAR",I17501,3,22,2020,1505.6,14.28,23.4,47,50,1,98,6,3,15,30.25918654,24.46156098
2001_1013,10,1,3,SVREC,0,1013,FALSE,2001,N13131/N14201,N18105,3,34,2020,1653.4,13.88,19.7,45,58,1,96,6,2,15,33.38469667,20.68980488
2005_1013,3,1,4,SVREC,0,1013,FALSE,2005,G14530/G11431,G17418,4,46,2020,1940.9,14.57,34.6,44,55,1,96,5,3,15,38.87577381,36.04729268
2007_1013,1,1,5,SVREC,0,1013,FALSE,2007,S14706/R13752,S18904,5,54,2020,2015.7,13.68,41.9,44,50,1,96,6,1,15,40.79461208,44.10741463
2011_1013,26,1,3,SVREC,0,1013,FALSE,2011,NE1-17-19,I18605,3,62,2020,1306.3,15.46,38.6,44,30,5,106,2,2,15,25.89230121,39.79565854
2012_1013,7,1,4,SVREC,0,1013,FALSE,2012,PT16-12-1,I20804,4,70,2020,1606.7,13.95,37.5,44,49,2,96,4,2,15,32.41538235,39.35213415
2006_1013,16,1,4,SVREC,5,1013,FALSE,2006,"PT16-9, USDA DIAMONDBACK",I18623,4,78,2020,1652.3,14.72,35.8,43,48,2,92,5,2,15,33.0370739,37.232
2003_1013,91,,1,SVREC,1,1013,FALSE,2003,"MEDALIST/N08003, ALPENA",N11283,2,84,2020,1773.2,12.92,17.6,47,49,3,94,4,2,16,33.94008297,18.69034146
2004_1013,146,,2,SVREC,2,1013,FALSE,2004,"B04644/ZORRO, ZENITH",B10244,1,104,2020,1882.5,13.51,19.6,46,56,2,94,5,1,16,35.7880173,20.67321951
2008_1013,32,,32,SVREC,0,1013,FALSE,2008,P16905/G16341,G20780,3,112,2020,,,,,,,,,,,,
2009_1013,156,,2,SVREC,0,1013,FALSE,2009,R12859/R12844,R17604,1,167,2020,1403,11.95,30.1,46,51,2,92,6,1,16,27.15337316,32.32079268
