Global_ID,MTR_ADJ,MTR_Days,GDD,Global_ID2,Plot,ENTRY,REP,IBLK,Rng,Pas,Name,Identity1,Pedigree,Experiment Name,Origin,Selection,Description1,Year,Location,Planter,Harvester
22013025,40,100,19.66161616,2201_3025,3025,3,3,5,11,3,B20591,NA,B16505/B16504,2201,18B252-06-02,19-20T788,18A0252-18L248-18-19T727-19T1341-19-20T788,2022,SVREC,37,1663
22013026,35,95,19.9212766,2201_3026,3026,12,3,5,11,4,B20602,NA,B16506/B16504,2201,18B262-05-02,19-20T827,18A0262-18L258-18-19T781-19T1366-19-20T827,2022,SVREC,42,1664
22013027,41,101,19.662,2201_3027,3027,32,3,5,11,5,B21706,NA,B15430/B16504,2201,18B217-07-06,20T2277,18A0217-18L216-18-19T505-19T1225-20T2277,2022,SVREC,63,1665
22013028,35,95,19.9212766,2201_3028,3028,10,3,5,11,6,B20549,NA,B16501/B16504,2201,18B228-10-01,19-20T673,18A0228-18L225-18-19T582-19T1266-19-20T673,2022,SVREC,68,1666
22013029,41,101,19.662,2201_3029,3029,6,3,5,11,7,B19309,NA,B15414/B16504,2201,17B208-04-02,18-19T1054,17A0208-17L224-17-18T599-18T1223-18-19T1054,2022,SVREC,89,1667
22013030,40,100,19.66161616,2201_3030,3030,5,3,5,11,8,B20590,NA,B16505/B16504,2201,18B252-06-01,19-20T787,18A0252-18L248-18-19T727-19T1341-19-20T787,2022,SVREC,94,1668
22013031,37,97,19.81145833,2201_3031,3031,7,3,6,12,3,B19344,NA,B16506/B16507,2201,17B247-01-04,18-19T1121,17A0247-17L268-17-18T786-18T1277-18-19T1121,2022,SVREC,38,1990
22013032,38,98,19.77731959,2201_3032,3032,26,3,6,12,4,B21714,NA,B16501/B16504,2201,18B228-07-05,20T2336,18A0228-18L225-18-19T579-19T1264-20T2336,2022,SVREC,41,1989
22013033,40,100,19.66161616,2201_3033,3033,2,3,6,12,5,B20599,NA,B16506/B15430,2201,18B261-03-01,19-20T821,18A0261-18L257-18-19T772-19T1362-19-20T821,2022,SVREC,64,1988
22013034,40,100,19.66161616,2201_3034,3034,29,3,6,12,6,B21713,NA,B16501/B16504,2201,18B228-06-03,20T2328,18A0228-18L225-18-19T578-19T1263-20T2328,2022,SVREC,67,1987
22013035,41,101,19.662,2201_3035,3035,28,3,6,12,7,B21724,NA,B17996/B17540,2201,18B344-01-05,20T2585,18A0344-18L337-18-19T998-19T1463-20T2585,2022,SVREC,90,1986
22013036,37,97,19.81145833,2201_3036,3036,15,3,6,12,8,B19332,NA,B16501/B15464,2201,17B238-02-02,18-19T1098,17A0238-17L253-17-18T732-18T1262-18-19T1098,2022,SVREC,93,1985
22014001,37,97,19.81145833,2201_4001,4001,27,4,1,7,9,B21712,NA,B16501/B16504,2201,18B228-03-05,20T2325,18A0228-18L225-18-19T575-19T1262-20T2325,2022,SVREC,111,1005
22014002,38,98,19.77731959,2201_4002,4002,19,4,1,7,10,B20616,NA,B17106/B17259,2201,18B274-01-05,19-20T850,18A0274-18L268-18-19T816-19T1384-19-20T850,2022,SVREC,124,1006
22014003,40,100,19.66161616,2201_4003,4003,25,4,1,7,11,B21708,NA,B15430/B16504,2201,18B217-09-05,20T2289,18A0217-18L216-18-19T507-19T1227-20T2289,2022,SVREC,137,1007
22014004,40,100,19.66161616,2201_4004,4004,30,4,1,7,12,B21717,NA,B16504/B17106,2201,18B236-07-02,20T2393,18A0236-18L233-18-19T628-19T1291-20T2393,2022,SVREC,150,1008
22014005,38,98,19.77731959,2201_4005,4005,7,4,1,7,13,B19344,NA,B16506/B16507,2201,17B247-01-04,18-19T1121,17A0247-17L268-17-18T786-18T1277-18-19T1121,2022,SVREC,163,1009
22014006,41,101,19.662,2201_4006,4006,32,4,1,7,14,B21706,NA,B15430/B16504,2201,18B217-07-06,20T2277,18A0217-18L216-18-19T505-19T1225-20T2277,2022,SVREC,176,1010
22014007,36,96,19.86210526,2201_4007,4007,14,4,2,8,9,B20617,NA,B17106/N14218,2201,18B280-01-01,19-20T851,18A0280-18L274-18-19T827-19T1390-19-20T851,2022,SVREC,112,1320
22014008,38,98,19.77731959,2201_4008,4008,34,4,2,8,10,B21711,NA,B16501/B15430,2201,18B227-08-06,20T2320,18A0227-18L224-18-19T570-19T1259-20T2320,2022,SVREC,123,1319
22014009,42,102,19.7039604,2201_4009,4009,6,4,2,8,11,B19309,NA,B15414/B16504,2201,17B208-04-02,18-19T1054,17A0208-17L224-17-18T599-18T1223-18-19T1054,2022,SVREC,138,1318
22014010,43,103,19.69019608,2201_4010,4010,28,4,2,8,12,B21724,NA,B17996/B17540,2201,18B344-01-05,20T2585,18A0344-18L337-18-19T998-19T1463-20T2585,2022,SVREC,149,1317
22014011,41,101,19.662,2201_4011,4011,31,4,2,8,13,B21707,NA,B15430/B16504,2201,18B217-09-04,20T2288,18A0217-18L216-18-19T507-19T1227-20T2288,2022,SVREC,164,1316
22014012,41,101,19.662,2201_4012,4012,18,4,2,8,14,B20542,NA,B16501/B15430,2201,18B227-08-02,19-20T650,18A0227-18L224-18-19T570-19T1259-19-20T650,2022,SVREC,175,1315
22014013,42,102,19.7039604,2201_4013,4013,11,4,3,9,9,B20639,NA,B17730/B15430,2201,18B329-08-01,19-20T903,18A0329-18L322-18-19T980-19T1455-19-20T903,2022,SVREC,113,1337
22014014,40,100,19.66161616,2201_4014,4014,2,4,3,9,10,B20599,NA,B16506/B15430,2201,18B261-03-01,19-20T821,18A0261-18L257-18-19T772-19T1362-19-20T821,2022,SVREC,122,1338
22014015,41,101,19.662,2201_4015,4015,17,4,3,9,11,B10244,ZENITH,"B04644/ZORRO, ZENITH",2201,08B118 -02-02,NA,NA,2022,SVREC,139,1339
22014016,41,101,19.662,2201_4016,4016,36,4,3,9,12,B21705,NA,B14302/B15430,2201,18B211-05-07,20T2264,18A0211-18L210-18-19T472-19T1209-20T2264,2022,SVREC,148,1340
22014017,41,101,19.662,2201_4017,4017,5,4,3,9,13,B20590,NA,B16505/B16504,2201,18B252-06-01,19-20T787,18A0252-18L248-18-19T727-19T1341-19-20T787,2022,SVREC,165,1341
22014018,37,97,19.81145833,2201_4018,4018,8,4,3,9,14,B20597,NA,B16506/B15430,2201,18B261-02-01,19-20T817,18A0261-18L257-18-19T771-19T1361-19-20T817,2022,SVREC,174,1342
22014019,41,101,19.662,2201_4019,4019,23,4,4,10,9,B04554,ZORRO,"B00103*/X00822, ZORRO",2201,01B008 -04-01-06,NA,NA,2022,SVREC,114,1652
22014020,40,100,19.66161616,2201_4020,4020,20,4,4,10,10,B20547,NA,B16501/B16504,2201,18B228-07-01,19-20T666,18A0228-18L225-18-19T579-19T1264-19-20T666,2022,SVREC,121,1651
22014021,40,100,19.66161616,2201_4021,4021,29,4,4,10,11,B21713,NA,B16501/B16504,2201,18B228-06-03,20T2328,18A0228-18L225-18-19T578-19T1263-20T2328,2022,SVREC,140,1650
22014022,41,101,19.662,2201_4022,4022,33,4,4,10,12,B21715,NA,B16501/B16504,2201,18B228-07-06,20T2337,18A0228-18L225-18-19T579-19T1264-20T2337,2022,SVREC,147,1649
22014023,41,101,19.662,2201_4023,4023,9,4,4,10,13,B20538,NA,B15430/B16504,2201,18B217-12-02,19-20T631,18A0217-18L216-18-19T510-19T1229-19-20T631,2022,SVREC,166,1648
22014024,41,101,19.662,2201_4024,4024,3,4,4,10,14,B20591,NA,B16505/B16504,2201,18B252-06-02,19-20T788,18A0252-18L248-18-19T727-19T1341-19-20T788,2022,SVREC,173,1647
22014025,35,95,19.9212766,2201_4025,4025,10,4,5,11,9,B20549,NA,B16501/B16504,2201,18B228-10-01,19-20T673,18A0228-18L225-18-19T582-19T1266-19-20T673,2022,SVREC,115,1669
22014026,40,100,19.66161616,2201_4026,4026,35,4,5,11,10,B21720,NA,B16505/B16504,2201,18B252-06-05,20T2457,18A0252-18L248-18-19T727-19T1341-20T2457,2022,SVREC,120,1670
22014027,41,101,19.662,2201_4027,4027,16,4,5,11,11,B19340,NA,B16507/B15453,2201,17B249-03-03,18-19T1111,17A0249-17L262-17-18T771-18T1270-18-19T1111,2022,SVREC,141,1671
22014028,41,101,19.662,2201_4028,4028,24,4,5,11,12,B21710,NA,B16501/B15430,2201,18B227-08-03,20T2317,18A0227-18L224-18-19T570-19T1259-20T2317,2022,SVREC,146,1672
